"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"6/1/2020 12 a.m. PDT",3200,0,21186,768,55,6633,7805,751
NW,"6/1/2020 1 a.m. PDT",3120,-2,20290,807,55,5694,7674,752
NW,"6/1/2020 2 a.m. PDT",3239,0,20232,805,55,5057,7580,753
NW,"6/1/2020 3 a.m. PDT",3138,0,20155,800,55,4885,7323,755
NW,"6/1/2020 4 a.m. PDT",2978,-2,20141,802,53,4931,7362,756
NW,"6/1/2020 5 a.m. PDT",2705,0,20694,810,55,5014,7658,838
NW,"6/1/2020 6 a.m. PDT",2864,131,21670,841,54,5032,7862,966
NW,"6/1/2020 7 a.m. PDT",2699,980,22368,829,53,4517,7946,969
NW,"6/1/2020 8 a.m. PDT",2270,1760,22863,822,52,4874,8574,971
NW,"6/1/2020 9 a.m. PDT",2155,2235,23185,821,53,5411,8682,972
NW,"6/1/2020 10 a.m. PDT",2353,2525,23407,811,54,5868,8492,970
NW,"6/1/2020 11 a.m. PDT",2716,2632,23263,805,53,6408,8529,968
NW,"6/1/2020 12 p.m. PDT",3218,2613,23152,845,53,7393,8858,966
NW,"6/1/2020 1 p.m. PDT",3631,2602,22924,804,53,7858,9283,963
NW,"6/1/2020 2 p.m. PDT",4007,2573,22941,794,53,8679,9535,960
NW,"6/1/2020 3 p.m. PDT",4255,2438,23075,792,53,9300,9669,956
NW,"6/1/2020 4 p.m. PDT",4807,2217,22607,803,28,9451,9797,954
NW,"6/1/2020 5 p.m. PDT",5223,1797,23258,821,44,9713,9407,955
NW,"6/1/2020 6 p.m. PDT",5424,1478,23349,814,54,9906,9726,948
NW,"6/1/2020 7 p.m. PDT",5664,670,23167,818,55,9414,10009,945
NW,"6/1/2020 8 p.m. PDT",5564,113,23184,827,55,9154,9507,946
NW,"6/1/2020 9 p.m. PDT",5413,61,23196,835,54,9147,9328,944
NW,"6/1/2020 10 p.m. PDT",5136,-1,22929,855,54,8308,9289,790
NW,"6/1/2020 11 p.m. PDT",4011,0,22147,853,55,7765,9239,730
NW,"6/2/2020 12 a.m. PDT",3072,-2,21746,851,55,7105,8750,728
NW,"6/2/2020 1 a.m. PDT",2762,1,21065,865,55,6604,8494,726
NW,"6/2/2020 2 a.m. PDT",2431,-2,20585,857,55,6089,8189,725
NW,"6/2/2020 3 a.m. PDT",2405,-1,20710,868,54,5882,7734,726
NW,"6/2/2020 4 a.m. PDT",2217,0,20965,868,54,5691,7913,728
NW,"6/2/2020 5 a.m. PDT",1915,0,21384,874,53,5861,8202,728
NW,"6/2/2020 6 a.m. PDT",2079,105,22231,876,53,5856,8229,730
NW,"6/2/2020 7 a.m. PDT",2100,795,22791,878,53,5707,7976,729
NW,"6/2/2020 8 a.m. PDT",2033,1531,22865,870,53,5713,8226,729
NW,"6/2/2020 9 a.m. PDT",2476,2065,23261,861,53,5498,8475,727
NW,"6/2/2020 10 a.m. PDT",2818,2328,23220,850,53,5712,9398,727
NW,"6/2/2020 11 a.m. PDT",3014,2389,22900,933,54,6238,9891,727
NW,"6/2/2020 12 p.m. PDT",3366,2430,22953,815,54,6933,9885,726
NW,"6/2/2020 1 p.m. PDT",3243,2373,22819,828,53,7827,10283,725
NW,"6/2/2020 2 p.m. PDT",3091,2301,22978,806,52,8644,10787,725
NW,"6/2/2020 3 p.m. PDT",3893,2271,23064,802,53,8945,10966,727
NW,"6/2/2020 4 p.m. PDT",4826,2125,22877,788,53,9183,10910,727
NW,"6/2/2020 5 p.m. PDT",5468,1735,22717,791,52,9495,11075,728
NW,"6/2/2020 6 p.m. PDT",5609,1368,23120,794,54,9793,11414,729
NW,"6/2/2020 7 p.m. PDT",5916,742,23324,794,55,9699,10852,729
NW,"6/2/2020 8 p.m. PDT",6913,139,23027,801,55,8903,10410,726
