"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"9/1/2020 12 a.m. PDT",4223,-1,11571,822,59,10139,10331,1145
NW,"9/1/2020 1 a.m. PDT",3852,-1,9875,849,59,9851,10382,1145
NW,"9/1/2020 2 a.m. PDT",3694,-1,9244,859,57,9563,9988,1146
NW,"9/1/2020 3 a.m. PDT",3933,0,8771,862,58,9191,9928,1146
NW,"9/1/2020 4 a.m. PDT",4466,-2,8152,837,59,9026,9846,1146
NW,"9/1/2020 5 a.m. PDT",4656,-1,7664,853,59,9383,9966,1148
NW,"9/1/2020 6 a.m. PDT",4256,0,8437,873,59,10036,10383,1152
NW,"9/1/2020 7 a.m. PDT",3806,292,9026,903,57,10430,10658,1151
NW,"9/1/2020 8 a.m. PDT",4075,1660,10168,898,57,10110,10397,1147
NW,"9/1/2020 9 a.m. PDT",3667,2660,10551,918,56,10108,10244,1144
NW,"9/1/2020 10 a.m. PDT",3413,2881,10485,911,55,10234,10163,1142
NW,"9/1/2020 11 a.m. PDT",3167,2941,11177,900,57,10541,10041,1142
NW,"9/1/2020 12 p.m. PDT",2733,2945,11531,891,58,11250,10696,1140
NW,"9/1/2020 1 p.m. PDT",2470,2951,12276,870,57,11965,11328,1139
NW,"9/1/2020 2 p.m. PDT",2201,2933,13006,858,56,12861,12005,1138
NW,"9/1/2020 3 p.m. PDT",2309,2953,13505,847,56,13354,12331,1135
NW,"9/1/2020 4 p.m. PDT",2390,2933,13851,842,54,13933,12183,1133
NW,"9/1/2020 5 p.m. PDT",2539,2770,14707,823,54,14210,12524,1130
NW,"9/1/2020 6 p.m. PDT",2521,1876,15309,838,54,14634,12636,1131
NW,"9/1/2020 7 p.m. PDT",2579,452,15154,821,54,14843,12720,1130
NW,"9/1/2020 8 p.m. PDT",2740,5,15149,828,56,14674,12766,1131
NW,"9/1/2020 9 p.m. PDT",2794,-1,13797,847,58,14734,12799,1132
NW,"9/1/2020 10 p.m. PDT",2857,-2,12231,870,60,13379,12565,1132
