"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"1/1/2020 12 a.m. PST",7689,-1,9348,1013,60,8627,11650,1150
NW,"1/1/2020 1 a.m. PST",7751,-2,8920,1045,60,8576,11273,1152
NW,"1/1/2020 2 a.m. PST",7269,1,8590,1063,59,8618,11142,1152
NW,"1/1/2020 3 a.m. PST",6892,0,8941,1047,60,8627,10815,1149
NW,"1/1/2020 4 a.m. PST",6526,-1,8779,1043,59,8748,10973,1147
NW,"1/1/2020 5 a.m. PST",7362,0,8287,1040,57,8563,11050,1143
NW,"1/1/2020 6 a.m. PST",8288,-3,8682,1035,59,8582,10725,1144
NW,"1/1/2020 7 a.m. PST",8610,14,9959,1034,59,8403,10639,1147
NW,"1/1/2020 8 a.m. PST",8258,212,10602,1035,57,8588,10811,1150
NW,"1/1/2020 9 a.m. PST",7693,557,11244,1040,59,7694,10553,1157
NW,"1/1/2020 10 a.m. PST",7650,904,11210,1020,59,7247,10123,1154
NW,"1/1/2020 11 a.m. PST",8659,946,11088,1024,59,7240,9800,1149
NW,"1/1/2020 12 p.m. PST",9215,1034,10711,1004,59,7134,9589,1149
NW,"1/1/2020 1 p.m. PST",9725,964,10533,1002,59,6666,9523,1152
NW,"1/1/2020 2 p.m. PST",9250,1068,10215,996,59,6860,9458,1153
NW,"1/1/2020 3 p.m. PST",8857,1037,10517,1000,60,6902,9461,1150
NW,"1/1/2020 4 p.m. PST",8975,465,11886,999,60,7895,9924,1154
NW,"1/1/2020 5 p.m. PST",9246,17,13307,985,60,8614,11001,1155
NW,"1/1/2020 6 p.m. PST",8926,0,14375,974,60,8898,11928,1159
NW,"1/1/2020 7 p.m. PST",8180,1,14589,994,59,8859,11861,1160
NW,"1/1/2020 8 p.m. PST",8041,-3,14273,996,58,8703,11779,1160
NW,"1/1/2020 9 p.m. PST",8723,0,13224,1011,58,8369,11521,1159
NW,"1/1/2020 10 p.m. PST",9044,-1,12133,1014,60,8007,11207,1157
NW,"1/1/2020 11 p.m. PST",8987,-1,10667,1027,60,8211,10621,1157
NW,"1/2/2020 12 a.m. PST",8322,0,10179,1021,60,7944,10179,1156
NW,"1/2/2020 1 a.m. PST",8481,-1,9019,1018,59,7919,9786,1157
NW,"1/2/2020 2 a.m. PST",8395,-1,8601,1014,60,7925,10112,1158
NW,"1/2/2020 3 a.m. PST",8452,0,8469,1024,59,8011,10468,1159
NW,"1/2/2020 4 a.m. PST",8549,0,8867,1025,58,7924,10330,1163
NW,"1/2/2020 5 a.m. PST",8760,-1,9457,1030,60,8016,10730,1165
NW,"1/2/2020 6 a.m. PST",8952,-1,10811,1036,59,8596,11125,1166
NW,"1/2/2020 7 a.m. PST",9003,7,13050,1043,58,8998,11181,1165
NW,"1/2/2020 8 a.m. PST",9210,315,13693,1045,58,9190,11322,1166
NW,"1/2/2020 9 a.m. PST",8622,1214,13947,1044,58,9054,10909,1165
NW,"1/2/2020 10 a.m. PST",8497,1621,13910,1045,60,8133,10755,1165
NW,"1/2/2020 11 a.m. PST",8368,1624,13817,1052,59,8004,10377,1165
NW,"1/2/2020 12 p.m. PST",7327,1613,14256,1042,59,8319,10099,1163
NW,"1/2/2020 1 p.m. PST",6902,1656,14250,1029,58,8540,10302,1162
NW,"1/2/2020 2 p.m. PST",6492,1728,13808,1026,58,8748,10413,1161
NW,"1/2/2020 3 p.m. PST",5045,1561,14316,1019,58,9254,11181,1162
NW,"1/2/2020 4 p.m. PST",4077,655,14956,1016,59,10083,12287,1162
NW,"1/2/2020 5 p.m. PST",4282,33,16536,1021,60,10580,13122,1163
NW,"1/2/2020 6 p.m. PST",4177,3,17682,1028,59,10762,12988,1163
NW,"1/2/2020 7 p.m. PST",3837,0,17402,1037,60,10785,12920,1160
NW,"1/2/2020 8 p.m. PST",3748,0,17167,1037,60,10677,12805,1160
NW,"1/2/2020 9 p.m. PST",3972,0,16218,1042,57,10322,12916,1160
NW,"1/2/2020 10 p.m. PST",4219,-1,14739,1047,59,9816,12583,1160
NW,"1/2/2020 11 p.m. PST",4779,0,13143,1030,60,9313,12292,1161
NW,"1/3/2020 12 a.m. PST",5283,-1,11464,1038,60,8895,11979,1161
NW,"1/3/2020 1 a.m. PST",5566,-1,10288,1030,59,8586,11803,1161
NW,"1/3/2020 2 a.m. PST",5394,0,9474,1021,58,8655,11490,1160
NW,"1/3/2020 3 a.m. PST",5137,0,9672,1021,59,8752,11150,1161
NW,"1/3/2020 4 a.m. PST",5177,0,9629,1022,57,8965,11436,1159
NW,"1/3/2020 5 a.m. PST",5517,-1,10330,1032,60,9215,12085,1157
NW,"1/3/2020 6 a.m. PST",5835,0,11689,1040,60,9752,12553,1158
NW,"1/3/2020 7 a.m. PST",5846,15,13990,1052,60,9848,12642,1160
NW,"1/3/2020 8 a.m. PST",5528,500,14886,1055,59,9882,12591,1158
NW,"1/3/2020 9 a.m. PST",5200,1264,14360,1056,57,9504,12332,1160
NW,"1/3/2020 10 a.m. PST",5502,1581,13905,1051,59,9080,11728,1160
NW,"1/3/2020 11 a.m. PST",5845,1646,13430,1038,59,8929,11271,1157
NW,"1/3/2020 12 p.m. PST",5700,1602,13218,1033,60,8609,10689,1155
NW,"1/3/2020 1 p.m. PST",5489,1609,13235,996,60,8608,10375,1154
NW,"1/3/2020 2 p.m. PST",5183,1515,13149,968,59,8795,10406,1157
NW,"1/3/2020 3 p.m. PST",4654,1123,13526,966,59,8927,10658,1158
NW,"1/3/2020 4 p.m. PST",4287,526,14074,994,60,9681,11114,1158
NW,"1/3/2020 5 p.m. PST",4462,34,15762,1006,59,10251,12281,1159
NW,"1/3/2020 6 p.m. PST",4789,2,16725,1019,61,10432,12584,1160
NW,"1/3/2020 7 p.m. PST",4826,3,16571,1022,60,10360,12642,1159
NW,"1/3/2020 8 p.m. PST",4771,0,16144,1010,60,10170,12442,1159
NW,"1/3/2020 9 p.m. PST",4758,4,15527,1030,58,10178,12258,1161
NW,"1/3/2020 10 p.m. PST",4993,3,14852,1030,59,9898,12065,1159
NW,"1/3/2020 11 p.m. PST",5183,2,12718,1025,60,9591,11972,1161
NW,"1/4/2020 12 a.m. PST",5740,4,11617,1017,60,9053,11244,1159
NW,"1/4/2020 1 a.m. PST",7376,1,10765,1023,61,8534,10376,1159
NW,"1/4/2020 2 a.m. PST",8474,3,9630,1020,60,8243,9996,1160
NW,"1/4/2020 3 a.m. PST",8917,3,9627,1029,59,8287,9969,1158
NW,"1/4/2020 4 a.m. PST",9032,3,10029,1025,60,8304,9862,1155
NW,"1/4/2020 5 a.m. PST",9101,2,10475,1030,60,8316,10159,1151
NW,"1/4/2020 6 a.m. PST",9024,1,11390,1025,61,8516,10759,1152
NW,"1/4/2020 7 a.m. PST",9037,19,12200,1026,60,8596,11073,1154
NW,"1/4/2020 8 a.m. PST",8861,350,12553,1033,59,8779,11286,1157
NW,"1/4/2020 9 a.m. PST",8175,1037,13672,1024,59,8387,10639,1161
NW,"1/4/2020 10 a.m. PST",7011,1314,13896,1017,59,8459,10094,1162
NW,"1/4/2020 11 a.m. PST",6635,1432,13471,1011,59,8364,9921,1159
NW,"1/4/2020 12 p.m. PST",6548,1536,13154,1007,60,8025,9548,1157
NW,"1/4/2020 1 p.m. PST",7362,1607,12519,998,59,7529,9112,1158
NW,"1/4/2020 2 p.m. PST",7914,1679,12370,989,59,7217,8842,1155
NW,"1/4/2020 3 p.m. PST",7458,1502,13046,984,60,7683,8976,1156
NW,"1/4/2020 4 p.m. PST",7091,578,14229,998,60,8406,9492,1159
NW,"1/4/2020 5 p.m. PST",6717,31,16427,1021,60,9062,10603,1162
NW,"1/4/2020 6 p.m. PST",7304,3,17222,1035,61,8919,10981,1162
NW,"1/4/2020 7 p.m. PST",7740,1,17030,1064,60,8526,11154,1161
NW,"1/4/2020 8 p.m. PST",7202,2,16780,1073,58,8633,11288,1159
NW,"1/4/2020 9 p.m. PST",7008,-2,16256,1067,59,8421,11142,1160
NW,"1/4/2020 10 p.m. PST",6567,0,15187,1083,61,8424,11178,1161
NW,"1/4/2020 11 p.m. PST",6184,0,13889,1073,60,8524,11224,1162
NW,"1/5/2020 12 a.m. PST",5966,-1,12858,1065,60,8201,11114,1163
NW,"1/5/2020 1 a.m. PST",5642,0,10876,1063,61,8313,10844,1162
NW,"1/5/2020 2 a.m. PST",5051,-1,10310,1058,60,8543,10723,1162
NW,"1/5/2020 3 a.m. PST",4690,0,10550,1053,58,8566,10723,1162
NW,"1/5/2020 4 a.m. PST",4440,0,10759,1058,60,8565,10659,1163
NW,"1/5/2020 5 a.m. PST",4467,-1,11018,1054,59,8632,10651,1165
NW,"1/5/2020 6 a.m. PST",4201,-1,11738,1045,60,8928,11101,1163
NW,"1/5/2020 7 a.m. PST",4129,8,13027,1046,60,9456,11132,1165
NW,"1/5/2020 8 a.m. PST",3744,407,14107,1056,60,9485,11238,1164
NW,"1/5/2020 9 a.m. PST",3530,1238,14258,1048,59,9099,10979,1165
NW,"1/5/2020 10 a.m. PST",3003,1531,14689,1048,57,9260,11211,1164
NW,"1/5/2020 11 a.m. PST",2642,1580,14514,1040,60,9061,10814,1164
NW,"1/5/2020 12 p.m. PST",3923,1629,13520,1040,61,8866,10061,1165
NW,"1/5/2020 1 p.m. PST",5403,1676,12876,1027,60,8435,9437,1163
NW,"1/5/2020 2 p.m. PST",6528,1649,12071,1009,60,8602,9447,1159
NW,"1/5/2020 3 p.m. PST",8081,1360,11751,1008,61,8572,9235,1155
NW,"1/5/2020 4 p.m. PST",8803,582,12738,1008,61,9019,9702,1156
NW,"1/5/2020 5 p.m. PST",9554,31,14066,1003,61,9574,10873,1159
NW,"1/5/2020 6 p.m. PST",9857,0,15297,1012,60,9569,11270,1159
NW,"1/5/2020 7 p.m. PST",8728,-1,15610,1012,61,10192,11511,1162
NW,"1/5/2020 8 p.m. PST",7677,-2,15621,1027,60,10392,11815,1161
NW,"1/5/2020 9 p.m. PST",6944,0,15127,1040,59,10626,11692,1162
NW,"1/5/2020 10 p.m. PST",7134,0,14061,1044,61,10178,11077,1161
NW,"1/5/2020 11 p.m. PST",7345,-2,12111,1045,60,9710,10253,1162
NW,"1/6/2020 12 a.m. PST",7414,-1,11460,1050,60,8967,9672,1161
NW,"1/6/2020 1 a.m. PST",7119,0,11186,1056,60,8445,9375,1162
NW,"1/6/2020 2 a.m. PST",6864,-1,11074,1049,59,8423,9328,1162
NW,"1/6/2020 3 a.m. PST",6497,-1,10804,1052,59,8498,9511,1162
NW,"1/6/2020 4 a.m. PST",7068,-1,10605,1055,60,8652,9891,1160
NW,"1/6/2020 5 a.m. PST",7539,0,11114,1048,60,8665,10279,1161
NW,"1/6/2020 6 a.m. PST",7941,-2,12677,1054,59,9154,10927,1160
NW,"1/6/2020 7 a.m. PST",8351,15,14780,1001,59,9849,11111,1160
NW,"1/6/2020 8 a.m. PST",8610,539,15837,927,57,9573,11321,1158
NW,"1/6/2020 9 a.m. PST",8706,1579,15080,902,58,8558,10694,1154
NW,"1/6/2020 10 a.m. PST",8923,1761,14773,899,59,8286,10184,1154
NW,"1/6/2020 11 a.m. PST",9338,1673,14434,894,59,8226,9478,1151
NW,"1/6/2020 12 p.m. PST",9424,1588,14189,897,59,8066,9040,1150
NW,"1/6/2020 1 p.m. PST",9558,1656,13876,886,58,8050,8805,1148
NW,"1/6/2020 2 p.m. PST",9732,1710,13447,882,59,7722,8550,1147
NW,"1/6/2020 3 p.m. PST",9871,1605,13576,865,59,7679,8671,1147
NW,"1/6/2020 4 p.m. PST",9655,755,14704,882,59,8688,9250,1146
NW,"1/6/2020 5 p.m. PST",9291,41,16118,876,59,9695,10787,1146
NW,"1/6/2020 6 p.m. PST",8671,1,17338,881,59,9977,11791,1145
NW,"1/6/2020 7 p.m. PST",8302,-2,17322,887,62,9759,11922,1145
NW,"1/6/2020 8 p.m. PST",8070,0,16808,893,61,9897,11731,1145
NW,"1/6/2020 9 p.m. PST",7952,-1,15413,904,61,9861,11150,1147
NW,"1/6/2020 10 p.m. PST",8318,-1,13716,913,62,9461,10453,1146
NW,"1/6/2020 11 p.m. PST",8244,0,12283,907,62,8782,9781,1146
NW,"1/7/2020 12 a.m. PST",7627,0,11556,898,62,8498,9662,1145
NW,"1/7/2020 1 a.m. PST",7298,-2,11657,892,61,7889,9467,1146
NW,"1/7/2020 2 a.m. PST",7243,-1,10798,889,60,7876,9464,1150
NW,"1/7/2020 3 a.m. PST",7214,0,10595,891,61,7852,9536,1154
NW,"1/7/2020 4 a.m. PST",7090,0,11009,859,59,7948,9697,1152
NW,"1/7/2020 5 a.m. PST",7080,-2,11768,835,60,8154,10127,1150
NW,"1/7/2020 6 a.m. PST",6930,0,13561,858,60,8622,10883,1154
NW,"1/7/2020 7 a.m. PST",6392,13,16267,856,59,9381,11378,1154
NW,"1/7/2020 8 a.m. PST",5600,540,16889,870,57,9315,11760,1153
NW,"1/7/2020 9 a.m. PST",5412,1577,16246,897,58,8541,11423,1156
NW,"1/7/2020 10 a.m. PST",5079,1818,16033,894,60,8570,10909,1157
NW,"1/7/2020 11 a.m. PST",4866,1706,15681,880,59,8580,10692,1158
NW,"1/7/2020 12 p.m. PST",4496,1676,15363,868,59,8268,10817,1157
NW,"1/7/2020 1 p.m. PST",4403,1698,15250,864,59,8171,10706,1156
NW,"1/7/2020 2 p.m. PST",4451,1743,15090,856,59,8259,10945,1156
NW,"1/7/2020 3 p.m. PST",4605,1464,15373,848,58,8592,11004,1153
NW,"1/7/2020 4 p.m. PST",4125,509,16194,860,58,9303,11634,1151
NW,"1/7/2020 5 p.m. PST",4501,31,17487,875,58,10129,11900,1156
NW,"1/7/2020 6 p.m. PST",4940,-2,17469,874,58,10528,12001,1158
NW,"1/7/2020 7 p.m. PST",4923,-1,17322,872,59,10344,12078,1159
NW,"1/7/2020 8 p.m. PST",5671,0,16540,873,58,9849,12083,1158
NW,"1/7/2020 9 p.m. PST",6444,-1,15719,869,59,9236,11885,1157
NW,"1/7/2020 10 p.m. PST",6539,-1,14568,874,58,8855,11406,1156
NW,"1/7/2020 11 p.m. PST",6194,0,12811,850,58,8732,11427,1154
NW,"1/8/2020 12 a.m. PST",6398,0,11142,849,59,8352,11274,1152
NW,"1/8/2020 1 a.m. PST",6569,-1,10538,827,58,7975,11067,1151
NW,"1/8/2020 2 a.m. PST",6095,-3,10279,837,59,8014,11122,1151
NW,"1/8/2020 3 a.m. PST",6065,-1,10081,831,59,8034,10857,1151
NW,"1/8/2020 4 a.m. PST",6379,-1,10285,827,59,8278,10840,1155
NW,"1/8/2020 5 a.m. PST",7188,-1,10731,852,60,8445,11118,1156
NW,"1/8/2020 6 a.m. PST",7387,0,12856,867,60,9019,11485,1157
NW,"1/8/2020 7 a.m. PST",8091,5,15631,846,60,9241,11481,1158
NW,"1/8/2020 8 a.m. PST",8625,413,16331,847,58,9176,11206,1160
NW,"1/8/2020 9 a.m. PST",8467,1256,16101,832,58,8642,11000,1168
NW,"1/8/2020 10 a.m. PST",8674,1516,15305,876,59,8056,10808,1172
NW,"1/8/2020 11 a.m. PST",8915,1535,14559,823,59,7666,10728,1173
NW,"1/8/2020 12 p.m. PST",8907,1498,14574,844,60,7560,10374,1170
NW,"1/8/2020 1 p.m. PST",9204,1464,14099,823,58,7347,9913,1162
NW,"1/8/2020 2 p.m. PST",8836,1633,14100,830,59,7773,9690,1159
NW,"1/8/2020 3 p.m. PST",8570,1514,14302,814,58,7928,9806,1161
NW,"1/8/2020 4 p.m. PST",8179,676,15304,802,58,8723,10147,1162
NW,"1/8/2020 5 p.m. PST",7800,27,17486,796,58,9422,11012,1165
NW,"1/8/2020 6 p.m. PST",7010,0,18721,848,58,9863,11493,1166
NW,"1/8/2020 7 p.m. PST",6759,0,19064,868,59,9692,11325,1165
NW,"1/8/2020 8 p.m. PST",7240,1,18565,875,59,9215,10999,1166
NW,"1/8/2020 9 p.m. PST",7323,-1,17685,871,60,8863,10710,1166
NW,"1/8/2020 10 p.m. PST",7041,-2,16761,871,58,8518,10559,1166
NW,"1/8/2020 11 p.m. PST",6895,0,14238,874,59,8077,10729,1164
NW,"1/9/2020 12 a.m. PST",6447,-2,12821,871,59,7997,10835,1167
NW,"1/9/2020 1 a.m. PST",6000,0,12165,863,58,7998,10857,1165
NW,"1/9/2020 2 a.m. PST",5370,0,11535,848,59,8067,10959,1166
NW,"1/9/2020 3 a.m. PST",5165,-3,11563,846,58,8093,11037,1165
NW,"1/9/2020 4 a.m. PST",5075,-1,11951,845,57,8241,11180,1168
NW,"1/9/2020 5 a.m. PST",4589,0,13470,849,57,8657,11460,1168
NW,"1/9/2020 6 a.m. PST",4575,0,15489,847,57,9423,11745,1169
NW,"1/9/2020 7 a.m. PST",4260,10,17560,870,57,9876,12192,1169
NW,"1/9/2020 8 a.m. PST",4309,332,18452,869,55,9882,12012,1171
NW,"1/9/2020 9 a.m. PST",4560,705,17761,860,55,9545,11740,1171
NW,"1/9/2020 10 a.m. PST",4663,1164,17394,861,57,9294,11615,1170
NW,"1/9/2020 11 a.m. PST",5169,1487,16334,864,57,9005,11362,1168
NW,"1/9/2020 12 p.m. PST",5748,1583,15325,881,56,8606,10937,1165
NW,"1/9/2020 1 p.m. PST",6473,1562,14558,879,57,8412,11163,1167
NW,"1/9/2020 2 p.m. PST",6567,1458,13973,885,55,8361,11104,1167
NW,"1/9/2020 3 p.m. PST",6217,1288,14262,875,56,8514,11220,1166
NW,"1/9/2020 4 p.m. PST",5911,497,15297,876,56,9323,11682,1167
