"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"4/1/2020 12 a.m. PDT",6893,-2,12409,985,61,8858,7417,1167
NW,"4/1/2020 1 a.m. PDT",6531,0,12126,1019,61,8454,7684,1167
NW,"4/1/2020 2 a.m. PDT",5584,0,12096,1018,62,8405,7483,1168
NW,"4/1/2020 3 a.m. PDT",4803,-2,11864,1016,60,8870,7638,1169
NW,"4/1/2020 4 a.m. PDT",4182,1,12455,1026,61,9104,7802,1170
NW,"4/1/2020 5 a.m. PDT",3717,0,13556,1017,62,9505,8350,1170
NW,"4/1/2020 6 a.m. PDT",3347,-1,15056,1024,61,9935,8881,1170
NW,"4/1/2020 7 a.m. PDT",2903,88,16463,1033,61,10207,8870,1171
NW,"4/1/2020 8 a.m. PDT",2474,986,17095,1035,60,9953,8764,1170
NW,"4/1/2020 9 a.m. PDT",2389,2069,16902,1024,58,9368,7950,1170
NW,"4/1/2020 10 a.m. PDT",2538,2328,15922,1014,59,8740,7384,1169
NW,"4/1/2020 11 a.m. PDT",2933,2448,15380,996,59,8419,7146,1168
NW,"4/1/2020 12 p.m. PDT",3417,2448,15092,992,59,7783,7072,1167
NW,"4/1/2020 1 p.m. PDT",3470,2406,14556,986,59,7600,7104,1165
NW,"4/1/2020 2 p.m. PDT",3552,2338,13848,983,59,7663,6986,1165
NW,"4/1/2020 3 p.m. PDT",3445,2203,13690,992,60,7824,6932,1165
NW,"4/1/2020 4 p.m. PDT",3543,2105,13251,994,61,8183,7017,1164
NW,"4/1/2020 5 p.m. PDT",3545,1975,13474,999,60,8266,7404,1166
NW,"4/1/2020 6 p.m. PDT",3927,1347,14950,1012,60,8280,7829,1165
NW,"4/1/2020 7 p.m. PDT",4189,243,16361,1014,61,9206,8380,1167
NW,"4/1/2020 8 p.m. PDT",4510,2,16791,1019,59,9803,8831,1165
NW,"4/1/2020 9 p.m. PDT",4833,2,16506,1025,61,9150,8936,1165
NW,"4/1/2020 10 p.m. PDT",4735,2,15841,1036,61,8779,8679,1166
NW,"4/1/2020 11 p.m. PDT",4675,3,15269,1025,60,8780,8715,1167
NW,"4/2/2020 12 a.m. PDT",4913,1,14118,1042,62,8192,8544,1168
NW,"4/2/2020 1 a.m. PDT",4796,2,12179,1046,61,7945,8548,1168
NW,"4/2/2020 2 a.m. PDT",4455,1,11775,1047,62,8112,8051,1169
