"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"5/1/2020 12 a.m. PDT",6452,0,16141,818,59,6500,6589,1161
NW,"5/1/2020 1 a.m. PDT",6186,-1,16961,860,59,5522,6335,1163
NW,"5/1/2020 2 a.m. PDT",5453,-2,15580,859,61,5494,6342,1164
NW,"5/1/2020 3 a.m. PDT",4803,-1,15815,818,60,5421,6373,1165
NW,"5/1/2020 4 a.m. PDT",4584,-2,16050,838,59,5371,6378,1165
NW,"5/1/2020 5 a.m. PDT",3990,0,16477,865,60,5615,6839,1165
NW,"5/1/2020 6 a.m. PDT",3324,55,18463,887,61,5901,7414,1166
NW,"5/1/2020 7 a.m. PDT",2461,902,19002,886,59,5706,7564,1166
NW,"5/1/2020 8 a.m. PDT",1941,2291,18779,885,58,5443,7485,1165
NW,"5/1/2020 9 a.m. PDT",2076,2738,18500,876,58,4948,7439,1165
NW,"5/1/2020 10 a.m. PDT",1861,2847,18528,861,58,5147,7108,1164
NW,"5/1/2020 11 a.m. PDT",1395,2875,18167,865,56,5876,7942,1161
NW,"5/1/2020 12 p.m. PDT",1118,2886,17936,888,53,6302,8615,1160
NW,"5/1/2020 1 p.m. PDT",1105,2911,17864,880,53,6622,9017,1158
NW,"5/1/2020 2 p.m. PDT",1442,2818,17422,869,54,6748,9253,1160
NW,"5/1/2020 3 p.m. PDT",1921,2630,17354,855,53,6870,9291,1158
NW,"5/1/2020 4 p.m. PDT",2260,2378,17430,857,57,6838,8606,1160
NW,"5/1/2020 5 p.m. PDT",2890,2288,17883,837,56,6349,8200,1159
NW,"5/1/2020 6 p.m. PDT",3853,1834,18148,835,52,6750,8637,1158
NW,"5/1/2020 7 p.m. PDT",3959,670,19421,837,52,7154,9342,1158
NW,"5/1/2020 8 p.m. PDT",4126,47,19496,844,54,7110,10134,1159
NW,"5/1/2020 9 p.m. PDT",4138,0,19659,848,53,6962,9486,1159
NW,"5/1/2020 10 p.m. PDT",3680,0,19162,850,54,6709,9010,1158
NW,"5/1/2020 11 p.m. PDT",3789,-1,18940,874,54,6519,8816,1160
NW,"5/2/2020 12 a.m. PDT",3333,1,17608,885,56,6212,7895,1161
NW,"5/2/2020 1 a.m. PDT",3016,-2,17340,897,55,5786,7383,1162
NW,"5/2/2020 2 a.m. PDT",2948,-2,16920,903,54,5422,7147,1162
NW,"5/2/2020 3 a.m. PDT",2606,-1,16844,901,54,5247,7116,1164
NW,"5/2/2020 4 a.m. PDT",2406,0,16836,904,56,5159,7009,1163
NW,"5/2/2020 5 a.m. PDT",2180,-1,16749,905,56,5114,7216,1164
NW,"5/2/2020 6 a.m. PDT",1831,44,16952,917,55,5085,7370,1164
NW,"5/2/2020 7 a.m. PDT",1633,684,17200,920,55,5241,6654,1164
NW,"5/2/2020 8 a.m. PDT",1399,1873,16553,908,55,4696,6571,1164
NW,"5/2/2020 9 a.m. PDT",1000,2553,17148,885,54,4373,6676,1162
NW,"5/2/2020 10 a.m. PDT",1243,2672,17650,862,53,4335,6576,1160
NW,"5/2/2020 11 a.m. PDT",1568,2764,17896,842,52,4401,6554,1156
NW,"5/2/2020 12 p.m. PDT",1670,2794,18000,846,53,4457,6712,1156
NW,"5/2/2020 1 p.m. PDT",1707,2689,18122,832,52,4393,7057,1155
NW,"5/2/2020 2 p.m. PDT",2273,2635,17839,829,53,4235,7024,1153
NW,"5/2/2020 3 p.m. PDT",2852,2548,17412,830,55,4337,7109,1152
NW,"5/2/2020 4 p.m. PDT",3906,2382,16647,815,56,4724,7061,1150
NW,"5/2/2020 5 p.m. PDT",5142,2198,16600,805,56,5374,7458,1148
NW,"5/2/2020 6 p.m. PDT",6479,1616,17060,815,54,5495,7597,1144
NW,"5/2/2020 7 p.m. PDT",6824,571,18951,818,52,5749,8173,1143
NW,"5/2/2020 8 p.m. PDT",7573,34,19422,827,53,5902,8536,1146
NW,"5/2/2020 9 p.m. PDT",6604,0,18832,837,55,6448,8137,1151
NW,"5/2/2020 10 p.m. PDT",6464,1,18100,847,55,6303,7616,1154
NW,"5/2/2020 11 p.m. PDT",6452,0,17242,848,54,6125,7317,1155
